x,y,grad_x,grad_y,magnitude,valid
-2.107,1.199,2.382363,32.487441,32.574675,1
-1.607,1.199,6.940906,31.963351,32.708286,1
-1.107,1.199,22.570214,22.400189,31.799104,1
-0.607,1.199,48.046705,3.926672,48.206894,1
-0.107,1.199,55.271724,-0.278485,55.272426,1
0.393,1.199,76.620257,-17.563150,78.607430,1
0.893,1.199,112.584217,-51.037374,123.612375,1
1.393,1.199,104.907661,-46.359919,114.694636,1
1.893,1.199,5.569930,86.780534,86.959101,1
2.393,1.199,-59.704320,248.618961,255.687296,1
2.893,1.199,-198.968189,741.399718,767.633951,1
3.393,1.199,-207.850278,776.005363,803.359236,1
3.893,1.199,-105.374560,318.043621,335.045583,0
4.393,1.199,-113.468867,266.591446,289.734677,0
4.893,1.199,-186.079602,358.599073,404.003605,1
5.393,1.199,-269.612681,458.052659,531.510335,1
5.893,1.199,-297.338905,477.782063,562.748722,1
6.393,1.199,92.012054,241.744068,258.662739,1
6.893,1.199,143.442768,302.341655,334.643547,1
7.393,1.199,0.000000,0.000000,0.000000,0
7.893,1.199,0.000000,0.000000,0.000000,0
8.393,1.199,0.000000,0.000000,0.000000,0
8.893,1.199,0.000000,0.000000,0.000000,0
9.393,1.199,0.000000,0.000000,0.000000,0
9.893,1.199,0.000000,0.000000,0.000000,0
-4.607,1.699,0.000000,0.000000,0.000000,0
-4.107,1.699,0.000000,0.000000,0.000000,0
-3.607,1.699,-1.116808,8.486107,8.559280,0
-3.107,1.699,-2.629463,36.365482,36.460422,1
-2.607,1.699,2.093654,32.176181,32.244224,1
-2.107,1.699,7.039908,29.846667,30.665678,1
-1.607,1.699,21.217088,22.279587,30.765969,1
-1.107,1.699,51.208115,1.489789,51.229781,1
-0.607,1.699,59.459550,-3.253970,59.548522,1
-0.107,1.699,54.304937,1.357429,54.321900,1
0.393,1.699,91.565961,-31.810145,96.934053,1
0.893,1.699,119.003298,-61.104341,133.774159,1
1.393,1.699,74.589030,-12.534997,75.634975,1
1.893,1.699,-3.484678,112.486404,112.540366,1
2.393,1.699,-89.817479,326.542903,338.670116,1
2.893,1.699,-181.021599,659.123690,683.529706,1
3.393,1.699,-98.955552,342.352272,356.366776,0
3.893,1.699,-65.531391,181.684900,193.141829,0
4.393,1.699,-74.304560,149.018859,166.516630,0
4.893,1.699,-90.199920,134.050937,161.572520,0
5.393,1.699,-179.830744,204.310733,272.180036,1
5.893,1.699,-204.459094,216.801431,298.003996,1
6.393,1.699,35.399624,148.800071,152.952916,1
6.893,1.699,253.662823,71.120267,263.444339,1
7.393,1.699,1013.057990,-249.985259,1043.445792,1
7.893,1.699,0.000000,0.000000,0.000000,0
8.393,1.699,0.000000,0.000000,0.000000,0
8.893,1.699,0.000000,0.000000,0.000000,0
9.393,1.699,0.000000,0.000000,0.000000,0
9.893,1.699,0.000000,0.000000,0.000000,0
-4.607,2.199,0.000000,0.000000,0.000000,0
-4.107,2.199,0.000000,0.000000,0.000000,0
-3.607,2.199,0.000000,0.000000,0.000000,0
-3.107,2.199,247.556802,-86.733073,262.310877,1
-2.607,2.199,63.105073,-1.479871,63.122423,1
-2.107,2.199,33.106270,15.806488,36.686104,1
-1.607,2.199,50.623018,4.563397,50.828284,1
-1.107,2.199,61.093290,-2.715410,61.153606,1
-0.607,2.199,56.778041,0.650907,56.781772,1
-0.107,2.199,53.025922,3.652193,53.151546,1
0.393,2.199,94.934951,-38.782900,102.551247,1
0.893,2.199,108.142251,-54.064028,120.903539,1
1.393,2.199,36.338024,41.760840,55.357202,1
1.893,2.199,-38.287574,180.227678,184.249706,1
2.393,2.199,-128.954436,466.447971,483.945200,1
2.893,2.199,-100.175952,356.632623,370.434946,1
3.393,2.199,-38.489649,129.418188,135.020445,0
3.893,2.199,-23.651063,55.277815,60.124950,0
4.393,2.199,-42.558477,65.905581,78.452339,0
4.893,2.199,-73.216197,85.925164,112.888198,0
5.393,2.199,-148.991831,132.010604,199.061209,1
5.893,2.199,-165.886822,138.940037,216.385701,1
6.393,2.199,-91.753790,116.572127,148.350324,0
6.893,2.199,205.466681,52.842714,212.153033,1
7.393,2.199,830.866360,-138.145022,842.272495,1
7.893,2.199,805.280113,-186.232699,826.534137,1
8.393,2.199,0.000000,0.000000,0.000000,0
8.893,2.199,0.000000,0.000000,0.000000,0
9.393,2.199,0.000000,0.000000,0.000000,0
9.893,2.199,0.000000,0.000000,0.000000,0
-4.607,2.699,0.000000,0.000000,0.000000,0
-4.107,2.699,0.000000,0.000000,0.000000,0
-3.607,2.699,0.000000,0.000000,0.000000,0
-3.107,2.699,0.000000,0.000000,0.000000,0
